question,answer
what is his educational background| tell me about his education| where did he go to school,"Mohanish (Moni) holds a Bachelor of Engineering in Civil Engineering from Sri Jayachamarajendra College of Engineering, Karnataka, India (graduated May 2016) and is currently pursuing a Master of Sciences in Business Analytics - Data Science at The University of Texas at Dallas (Graduated in May 2024), where he has taken leadership roles as a Secretary and Technical Officer of the Data Science Club."
does he have any certificates? what kind of certificate he has?,"Mohanish  has certifications in Python Data Structures, AWS, Oracle foundation associate certification and training in Machine Learning and NLP.  He also has hand on experience with AWS, GCP, Azure, Databricks, and Snowflake"
How can I contact Moni? | What is Moni's email? | How to contact Moni?,"Mohanish's contact information: email - mohanishpradeep@gmail.com, phone - +1-945-244-7096, LinkedIn - https://www.linkedin.com/in/mohanishpradeep/"
What motivates Moni?,"Mohanish is deeply motivated by the transformative potential of AI and data science. He sees these fields as catalysts for positive change, offering endless possibilities to solve complex problems, improve lives, and drive innovation. This sense of purpose and the opportunity to make a meaningful impact fuels his passion and drives him to constantly learn, explore, and push boundaries in the field."
Where does he see himself in 5 years?,"In 5 years, Mohanish aims to be in a position where he's leveraging AI and ML to make a tangible positive impact on industries. He sees himself working to make AI/ML make it more accessible, removing the stigma that one needs advanced qualifications to utilize its potential. Through practical applications and advocacy, he hopes to empower individuals and organizations to embrace AI as a tool for innovation and progress."
Tell me about his technical skills ; What technical skills does he know,"Mohanish has demonstrated versatile technical skills across programming, data analysis, machine learning, and cloud platforms. His skills with data visualization tools like Power BI and Azure enabled creating dashboards for tracking performance metrics. As a Project Mangement professional at a Construction and Real-estate firm, he utilized Microsoft PowerBI and MS Excel to generate reports on the Project cost and Project Scheduling integrating with Project planning software (Primavera P6) to deliver insights to the management on resource levelling and adressing painpoints by comprehensive planning saving  5-8% of the project cost. He worked with multiple teams (Architects, Designers, Vendors) to improve the co-ordination resulting in saving time and ensuring smooth flow of work. He has extensively worked on analysis and designing  of structural components using  ANSYS, Matlab, E-Tabs and AutoCad.  His data engineering expertise with Apache Spark facilitated implementing large data pipelines. His skills span cloud platforms like AWS and GCP as well as productivity tools like SQL, Tableau, MATLAB and MS Office suite. He has worked on many Machine learning and Business Intelligence projects which can be seen on his Github profile https://github.com/Mohanishpradeep."
what can you do | hey | hello,"Hello, I\'m a Resume Bot. I can assist you with queries such as \'What did Moni study?\' or \'Where has he worked?\' as well as other typical interview questions. What would you like to know about Moni?"
What is Moni doing right now; Tell me something about Moni | what can you tell me about Moni,Mohanish is currently working on projects to leverage GenAI such as building Chatbots and Recommendation systems for industry Applications. His focus on practical application of Generative AI reflects his commitment to utilize AI/ML to deliver tangible benefits to industries.\
What programming languages or technologies is Moni proficient in?,"Python, R, Matlab, Tableau, Power BI, Microsoft SQL, Snowflake, PyTorch,Unsupervised Learning, Recommendation Systems, Large Language Models, Retrieval Augmented Generation (RAG) systems, AWS, Google Cloud Platform, Apache Spark, A/B Testing, Excel, MS Office"
Could you tell me about Moni's skills?,"Moni's  technical skills cover a wide range of programming languages (Python, R, Matlab), data visualization tools (Tableau, PowerBI), databases (Microsoft SQL, Snowflake), machine learning frameworks and techniques (PyTorch, Reinforcement Learning, Unsupervised Learning, Recommendation Systems, Large Language Models, RAG systems), cloud platforms (AWS, Google Cloud Platform), and general productivity software (MS Office, Excel). Additionally, he is trained in Python Data Structures, Hadoop, PySpark and Advanced Statistics for Data Science."
